INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
14;18.12.2018 0:00:00;1;630000;34832
15;18.12.2018 0:00:00;1;630000;34630
16;18.12.2018 0:00:00;1;630000;33990
17;18.12.2018 0:00:00;1;630000;34063
18;18.12.2018 0:00:00;1;630000;33812
19;18.12.2018 0:00:00;1;630000;32870
20;18.12.2018 0:00:00;1;630000;31759
21;18.12.2018 0:00:00;1;630000;30870
22;18.12.2018 0:00:00;1;630000;30775
23;18.12.2018 0:00:00;1;630000;30551
0;19.12.2018 0:00:00;1;630000;30382
1;19.12.2018 0:00:00;1;630000;30787
2;19.12.2018 0:00:00;1;630000;31076
3;19.12.2018 0:00:00;1;630000;32410
4;19.12.2018 0:00:00;1;630000;33414
5;19.12.2018 0:00:00;1;630000;34704
6;19.12.2018 0:00:00;1;630000;34830
7;19.12.2018 0:00:00;1;630000;34746
8;19.12.2018 0:00:00;1;630000;34273
9;19.12.2018 0:00:00;1;630000;34139
10;19.12.2018 0:00:00;1;630000;34190
11;19.12.2018 0:00:00;1;630000;34142
12;19.12.2018 0:00:00;1;630000;34138
13;19.12.2018 0:00:00;1;630000;34827
14;19.12.2018 0:00:00;1;630000;35011
15;19.12.2018 0:00:00;1;630000;35002
16;19.12.2018 0:00:00;1;630000;34601
17;19.12.2018 0:00:00;1;630000;34717
18;19.12.2018 0:00:00;1;630000;33988
19;19.12.2018 0:00:00;1;630000;33184
20;19.12.2018 0:00:00;1;630000;32278
21;19.12.2018 0:00:00;1;630000;31507
22;19.12.2018 0:00:00;1;630000;31120
23;19.12.2018 0:00:00;1;630000;30908
0;20.12.2018 0:00:00;1;630000;31159
1;20.12.2018 0:00:00;1;630000;31409
2;20.12.2018 0:00:00;1;630000;31685
3;20.12.2018 0:00:00;1;630000;32927
4;20.12.2018 0:00:00;1;630000;34108
5;20.12.2018 0:00:00;1;630000;35253
6;20.12.2018 0:00:00;1;630000;35260
7;20.12.2018 0:00:00;1;630000;34962
8;20.12.2018 0:00:00;1;630000;34647
9;20.12.2018 0:00:00;1;630000;34423
10;20.12.2018 0:00:00;1;630000;34382
11;20.12.2018 0:00:00;1;630000;34470
12;20.12.2018 0:00:00;1;630000;34445
13;20.12.2018 0:00:00;1;630000;34835
14;20.12.2018 0:00:00;1;630000;35127
15;20.12.2018 0:00:00;1;630000;35062
16;20.12.2018 0:00:00;1;630000;34779
17;20.12.2018 0:00:00;1;630000;34262
18;20.12.2018 0:00:00;1;630000;34008
19;20.12.2018 0:00:00;1;630000;33227
20;20.12.2018 0:00:00;1;630000;32282
21;20.12.2018 0:00:00;1;630000;31593
22;20.12.2018 0:00:00;1;630000;31106
23;20.12.2018 0:00:00;1;630000;31190
0;21.12.2018 0:00:00;1;630000;31167
1;21.12.2018 0:00:00;1;630000;31461
2;21.12.2018 0:00:00;1;630000;31875
3;21.12.2018 0:00:00;1;630000;33020
4;21.12.2018 0:00:00;1;630000;34337
5;21.12.2018 0:00:00;1;630000;35334
6;21.12.2018 0:00:00;1;630000;35420
7;21.12.2018 0:00:00;1;630000;35179
8;21.12.2018 0:00:00;1;630000;34994
9;21.12.2018 0:00:00;1;630000;34773
10;21.12.2018 0:00:00;1;630000;34743
11;21.12.2018 0:00:00;1;630000;34706
12;21.12.2018 0:00:00;1;630000;34524
13;21.12.2018 0:00:00;1;630000;35143
14;21.12.2018 0:00:00;1;630000;35553
15;21.12.2018 0:00:00;1;630000;35364
16;21.12.2018 0:00:00;1;630000;35061
17;21.12.2018 0:00:00;1;630000;34726
